wavelength (um)   sigma (cm2)
  1.0000   5.36584e-24
  1.0010   5.04050e-24
  1.0020   4.75499e-24
  1.0030   5.01438e-24
  1.0040   4.59573e-24
  1.0050   4.54394e-24
  1.0060   5.54380e-24
  1.0070   4.75754e-24
  1.0080   4.51624e-24
  1.0090   4.47701e-24
  1.0100   4.32116e-24
  1.0110   4.16596e-24
  1.0120   4.35325e-24
  1.0130   4.46988e-24
  1.0140   4.31338e-24
  1.0150   3.90398e-24
  1.0160   3.04471e-24
  1.0170   3.26396e-24
  1.0180   3.31557e-24
  1.0190   3.17554e-24
  1.0200   3.00395e-24
  1.0210   2.85363e-24
  1.0220   2.75151e-24
  1.0230   2.73854e-24
  1.0240   2.26122e-24
  1.0250   2.18750e-24
  1.0260   1.99979e-24
  1.0270   2.18998e-24
  1.0280   1.55996e-24
  1.0290   1.48388e-24
  1.0300   1.37965e-24
  1.0310   1.63813e-24
  1.0320   1.26594e-24
  1.0330   1.40857e-24
  1.0340   1.13386e-24
  1.0350   1.15460e-24
  1.0360   9.16127e-25
  1.0370   8.03677e-25
  1.0380   8.87854e-25
  1.0390   6.08724e-25
  1.0400   7.17933e-25
  1.0410   4.99516e-25
  1.0420   5.61184e-25
  1.0430   4.43822e-25
  1.0440   4.41611e-25
  1.0450   4.12370e-25
  1.0460   3.89748e-25
  1.0470   3.51065e-25
  1.0480   3.62492e-25
  1.0490   2.99460e-25
  1.0500   3.52898e-25
  1.0510   3.24696e-25
  1.0520   2.88413e-25
  1.0530   3.05172e-25
  1.0540   3.39615e-25
  1.0550   2.78260e-25
  1.0560   3.02067e-25
  1.0570   2.82733e-25
  1.0580   2.24892e-25
  1.0590   2.19061e-25
  1.0600   2.43803e-25
  1.0610   2.29294e-25
  1.0620   1.77349e-25
  1.0630   1.73897e-25
  1.0640   2.03728e-25
  1.0650   1.75419e-25
  1.0660   1.52063e-25
  1.0670   1.45694e-25
  1.0680   1.39211e-25
  1.0690   1.11227e-25
  1.0700   1.32378e-25
  1.0710   1.41081e-25
  1.0720   1.22488e-25
  1.0730   1.46611e-25
  1.0740   1.62165e-25
  1.0750   1.28033e-25
  1.0760   1.13953e-25
  1.0770   1.02430e-25
  1.0780   1.74287e-25
  1.0790   1.66720e-25
  1.0800   1.57981e-25
  1.0810   1.61283e-25
  1.0820   1.91469e-25
  1.0830   2.14605e-25
  1.0840   3.06924e-25
  1.0850   2.99511e-25
  1.0860   3.92931e-25
  1.0870   7.60664e-25
  1.0880   8.17811e-25
  1.0890   1.07984e-24
  1.0900   9.94136e-25
  1.0910   6.93299e-25
  1.0920   5.85794e-25
  1.0930   7.40998e-25
  1.0940   1.88978e-24
  1.0950   1.49079e-24
  1.0960   3.10482e-25
  1.0970   1.11017e-24
  1.0980   4.76377e-25
  1.0990   1.12775e-24
  1.1000   4.79136e-25
  1.1010   7.59628e-25
  1.1020   5.55575e-25
  1.1030   9.72204e-25
  1.1040   1.82304e-24
  1.1050   1.74259e-24
