wavelength (um)   sigma (cm2)
  1.0000   4.01119e-29
  1.0010   1.54504e-29
  1.0020   1.67207e-29
  1.0030   5.81392e-30
  1.0040   9.97018e-30
  1.0050   7.21904e-30
  1.0060   5.66370e-30
  1.0070   6.35892e-30
  1.0080   5.01627e-30
  1.0090   7.22844e-30
  1.0100   3.43540e-30
  1.0110   1.07481e-29
  1.0120   3.92160e-30
  1.0130   4.40711e-29
  1.0140   4.95481e-29
  1.0150   1.96632e-29
  1.0160   2.26301e-29
  1.0170   9.18668e-30
  1.0180   1.73559e-29
  1.0190   2.26194e-29
  1.0200   1.88178e-29
  1.0210   1.08372e-29
  1.0220   1.11020e-29
  1.0230   1.21394e-29
  1.0240   8.40351e-30
  1.0250   5.94354e-30
  1.0260   2.32813e-29
  1.0270   8.32058e-30
  1.0280   6.32791e-30
  1.0290   1.23707e-28
  1.0300   4.00752e-29
  1.0310   1.19632e-29
  1.0320   3.12355e-29
  1.0330   2.06067e-29
  1.0340   2.88110e-30
  1.0350   2.11970e-29
  1.0360   1.99997e-30
  1.0370   3.50868e-26
  1.0380   7.58590e-27
  1.0390   9.48567e-27
  1.0400   1.72317e-26
  1.0410   4.33506e-27
  1.0420   4.51905e-27
  1.0430   2.37033e-27
  1.0440   1.37757e-27
  1.0450   3.31974e-27
  1.0460   2.68427e-27
  1.0470   6.82872e-28
  1.0480   1.56622e-27
  1.0490   3.00016e-26
  1.0500   4.40263e-26
  1.0510   1.15575e-26
  1.0520   3.13678e-26
  1.0530   2.48745e-28
  1.0540   4.76460e-26
  1.0550   1.34681e-27
  1.0560   5.30046e-27
  1.0570   2.20920e-26
  1.0580   1.69418e-26
  1.0590   8.62767e-27
  1.0600   7.51059e-27
  1.0610   2.13261e-27
  1.0620   4.68501e-27
  1.0630   3.08820e-26
  1.0640   1.19635e-26
  1.0650   2.75074e-27
  1.0660   2.89330e-27
  1.0670   1.70375e-27
  1.0680   3.52849e-27
  1.0690   4.17382e-27
