wavelength (um)   sigma (cm2)
  1.0000   7.15276e-25
  1.0010   3.12404e-25
  1.0020   1.22418e-24
  1.0030   8.78090e-26
  1.0040   6.95357e-25
  1.0050   5.27058e-25
  1.0060   1.54725e-25
  1.0070   1.41152e-25
  1.0080   3.54397e-25
  1.0090   5.15718e-25
  1.0100   2.11647e-25
  1.0110   7.97270e-26
  1.0120   1.44969e-25
  1.0130   1.41731e-25
  1.0140   5.24946e-26
  1.0150   2.09980e-26
  1.0160   8.04754e-26
  1.0170   1.22801e-25
  1.0180   3.07011e-26
  1.0190   1.50709e-26
  1.0200   1.41831e-26
  1.0210   7.17950e-26
  1.0220   3.25586e-26
  1.0230   9.52864e-26
  1.0240   3.81435e-25
  1.0250   4.07760e-26
  1.0260   2.59531e-27
  1.0270   2.52906e-26
  1.0280   3.59099e-26
  1.0290   2.85278e-26
  1.0300   1.03363e-25
  1.0310   7.37392e-26
  1.0320   5.26369e-27
  1.0330   2.55025e-26
  1.0340   8.08821e-27
  1.0350   2.42687e-26
  1.0360   1.49926e-25
  1.0370   3.90390e-27
  1.0380   8.10965e-27
  1.0390   1.73436e-26
  1.0400   3.92155e-27
  1.0410   1.30065e-26
  1.0420   7.57523e-27
  1.0430   2.14845e-26
  1.0440   6.29924e-26
  1.0450   5.43150e-26
  1.0460   2.97320e-26
  1.0470   8.16194e-27
  1.0480   3.75543e-26
  1.0490   5.05327e-26
  1.0500   4.21920e-26
  1.0510   2.13318e-26
  1.0520   7.95660e-26
  1.0530   1.74868e-26
  1.0540   1.85609e-26
  1.0550   3.20805e-26
  1.0560   1.84524e-25
  1.0570   7.30906e-27
  1.0580   1.31607e-25
  1.0590   1.64402e-25
  1.0600   7.16520e-27
  1.0610   2.59717e-26
  1.0620   3.67217e-26
  1.0630   6.73662e-25
  1.0640   1.17035e-26
  1.0650   5.31508e-25
  1.0660   2.55778e-26
  1.0670   1.28689e-24
  1.0680   4.03032e-25
  1.0690   3.51333e-26
  1.0700   2.98166e-26
  1.0710   1.60751e-25
  1.0720   1.93410e-25
  1.0730   2.60775e-25
  1.0740   5.16284e-25
  1.0750   3.97136e-25
  1.0760   2.82704e-27
  1.0770   4.72794e-25
  1.0780   3.84285e-26
  1.0790   1.07833e-25
  1.0800   3.84449e-25
  1.0810   1.65539e-24
  1.0820   1.13680e-24
  1.0830   4.59572e-26
  1.0840   7.78781e-25
  1.0850   1.06498e-25
  1.0860   4.25076e-24
  1.0870   1.41937e-24
  1.0880   2.62355e-25
  1.0890   6.46951e-25
  1.0900   8.73079e-26
  1.0910   3.56916e-25
  1.0920   5.46712e-25
  1.0930   2.20453e-24
  1.0940   5.72057e-25
  1.0950   4.54657e-24
  1.0960   7.74065e-24
  1.0970   1.21540e-24
  1.0980   8.25268e-24
  1.0990   4.57369e-24
  1.1000   6.99793e-24
  1.1010   1.34195e-23
  1.1020   1.76665e-23
  1.1030   2.59364e-23
  1.1040   2.31646e-23
  1.1050   6.57305e-24
  1.1060   8.45817e-24
  1.1070   1.20446e-25
  1.1080   7.34633e-23
  1.1090   7.35433e-24
  1.1100   1.72170e-23
  1.1110   5.79249e-24
  1.1120   6.92186e-24
  1.1130   1.12281e-22
  1.1140   1.28783e-22
  1.1150   3.75467e-23
  1.1160   5.77863e-24
  1.1170   1.12401e-22
  1.1180   9.56055e-24
  1.1190   4.37419e-22
  1.1200   1.44666e-22
  1.1210   5.50767e-24
  1.1220   6.02648e-22
  1.1230   7.40276e-24
  1.1240   2.51611e-24
  1.1250   8.32599e-24
  1.1260   1.19596e-23
  1.1270   2.90743e-24
  1.1280   1.92191e-22
  1.1290   1.37332e-22
  1.1300   1.47134e-23
  1.1310   1.31931e-23
  1.1320   9.13863e-24
  1.1330   1.78579e-22
  1.1340   1.66431e-22
  1.1350   5.98129e-22
  1.1360   2.83647e-22
  1.1370   4.62777e-24
  1.1380   7.92147e-24
  1.1390   5.03710e-24
  1.1400   2.15898e-22
  1.1410   1.02866e-22
  1.1420   6.09930e-24
  1.1430   1.15350e-23
  1.1440   1.97164e-23
  1.1450   2.11750e-22
  1.1460   2.04580e-22
  1.1470   1.47339e-22
  1.1480   1.24226e-23
  1.1490   7.73856e-23
  1.1500   5.94370e-23
  1.1510   2.37823e-23
  1.1520   2.39881e-22
  1.1530   3.40574e-25
  1.1540   1.99180e-22
  1.1550   1.42733e-22
  1.1560   6.99311e-24
  1.1570   3.37040e-24
  1.1580   3.80156e-23
  1.1590   4.09162e-22
  1.1600   2.04199e-23
  1.1610   4.84950e-24
  1.1620   2.60452e-23
  1.1630   3.05650e-24
  1.1640   1.04356e-23
  1.1650   3.64626e-23
  1.1660   4.10738e-23
  1.1670   2.92492e-23
  1.1680   8.43144e-24
  1.1690   1.22616e-23
  1.1700   6.14901e-24
  1.1710   1.00800e-23
  1.1720   1.06670e-23
  1.1730   1.04766e-23
  1.1740   7.04418e-23
  1.1750   2.74981e-24
  1.1760   1.75432e-24
  1.1770   3.13662e-24
  1.1780   1.85207e-24
  1.1790   2.19025e-24
  1.1800   2.88181e-24
  1.1810   4.16781e-24
  1.1820   1.36649e-23
  1.1830   2.16606e-24
  1.1840   7.48006e-25
  1.1850   5.29558e-24
  1.1860   3.63244e-24
  1.1870   3.39640e-24
  1.1880   2.59523e-24
  1.1890   3.29977e-24
  1.1900   6.97480e-25
  1.1910   5.96293e-24
  1.1920   3.49556e-24
  1.1930   2.81726e-25
  1.1940   1.93615e-24
  1.1950   3.69092e-24
  1.1960   2.06271e-24
  1.1970   5.71764e-25
  1.1980   7.21320e-25
  1.1990   2.63945e-24
  1.2000   9.43159e-25
  1.2010   3.40425e-24
  1.2020   2.91474e-24
  1.2030   1.92550e-24
  1.2040   4.84800e-24
  1.2050   5.80179e-24
  1.2060   2.24191e-24
  1.2070   6.22389e-24
  1.2080   7.06720e-26
  1.2090   1.01984e-24
  1.2100   7.80952e-24
  1.2110   1.56864e-24
  1.2120   4.70956e-24
  1.2130   5.16823e-24
  1.2140   2.55812e-24
  1.2150   7.30340e-24
  1.2160   2.64299e-25
  1.2170   4.10345e-24
  1.2180   1.88218e-24
  1.2190   3.83638e-24
  1.2200   2.19350e-24
  1.2210   1.74008e-25
  1.2220   5.42193e-25
  1.2230   7.02366e-25
  1.2240   3.87501e-25
  1.2250   4.91439e-24
  1.2260   8.10537e-25
  1.2270   7.38614e-24
  1.2280   7.96975e-25
  1.2290   1.86272e-24
  1.2300   8.05811e-25
  1.2310   6.80087e-25
  1.2320   4.79691e-26
  1.2330   1.54730e-24
  1.2340   3.68643e-25
  1.2350   6.77761e-26
  1.2360   1.25230e-25
  1.2370   7.52823e-25
  1.2380   4.73928e-25
  1.2390   6.39725e-26
  1.2400   1.25104e-25
  1.2410   5.97875e-25
  1.2420   1.87352e-25
  1.2430   2.81329e-25
  1.2440   3.08881e-25
  1.2450   5.57104e-26
  1.2460   8.33950e-26
  1.2470   1.09524e-25
  1.2480   1.08109e-25
  1.2490   1.09184e-25
  1.2500   2.00551e-25
  1.2510   6.42442e-26
  1.2520   6.69798e-26
  1.2530   3.38916e-26
  1.2540   1.04318e-25
  1.2550   2.47844e-26
  1.2560   2.83676e-25
  1.2570   9.79787e-26
  1.2580   1.47901e-25
  1.2590   2.78761e-26
  1.2600   4.40686e-26
  1.2610   3.17387e-25
  1.2620   2.33036e-26
  1.2630   3.43705e-25
  1.2640   5.70681e-25
  1.2650   6.05012e-26
  1.2660   3.77543e-26
  1.2670   4.73801e-25
  1.2680   1.90980e-26
  1.2690   2.55040e-25
  1.2700   1.76147e-25
  1.2710   4.70118e-26
  1.2720   7.19333e-26
  1.2730   3.50181e-25
  1.2740   6.92027e-26
  1.2750   1.08587e-25
  1.2760   1.83311e-25
  1.2770   6.68371e-25
  1.2780   2.62733e-25
  1.2790   1.83562e-25
  1.2800   2.18610e-24
  1.2810   1.54698e-24
  1.2820   9.45659e-25
  1.2830   6.61404e-25
  1.2840   4.57361e-26
  1.2850   2.92998e-24
  1.2860   1.17959e-25
  1.2870   3.05074e-25
  1.2880   5.56083e-24
  1.2890   6.52296e-25
  1.2900   3.90547e-24
  1.2910   1.57605e-24
  1.2920   1.21587e-23
  1.2930   5.12264e-24
  1.2940   3.34680e-24
  1.2950   3.84736e-24
  1.2960   7.54450e-25
  1.2970   9.37073e-24
  1.2980   1.47727e-24
  1.2990   3.95497e-26
  1.3000   4.43184e-25
  1.3010   1.32838e-23
