wavelength (um)   sigma (cm2)
  1.0000   8.59351e-27
  1.0010   7.58219e-27
  1.0020   3.81886e-27
  1.0030   7.51356e-27
  1.0040   3.38739e-27
  1.0050   3.14374e-27
  1.0060   2.42120e-27
  1.0070   1.97673e-27
  1.0080   6.36646e-27
  1.0090   1.89034e-27
  1.0100   1.95861e-27
  1.0110   1.66584e-26
  1.0120   1.80154e-26
  1.0130   1.12823e-26
  1.0140   3.26470e-27
  1.0150   2.02988e-26
  1.0160   1.40670e-26
  1.0170   1.43083e-26
  1.0180   8.03533e-27
  1.0190   6.63707e-27
  1.0200   8.92700e-27
  1.0210   6.41634e-27
  1.0220   4.85876e-27
  1.0230   6.21988e-27
  1.0240   2.50415e-27
  1.0250   2.52331e-27
  1.0260   4.66814e-27
  1.0270   1.50050e-27
  1.0280   4.02627e-27
  1.0290   2.90532e-27
  1.0300   1.44293e-27
  1.0310   4.18868e-27
  1.0320   1.13890e-27
  1.0330   2.37910e-27
  1.0340   1.94779e-27
  1.0350   1.96699e-27
  1.0360   1.55173e-27
  1.0370   1.00626e-27
  1.0380   6.27942e-28
  1.0390   5.28839e-27
  1.0400   1.73230e-26
  1.0410   1.69491e-27
  1.0420   6.92386e-27
  1.0430   6.75939e-27
  1.0440   4.52423e-27
  1.0450   3.94344e-27
  1.0460   9.91712e-27
  1.0470   3.44048e-27
  1.0480   6.13731e-27
  1.0490   1.61700e-26
  1.0500   4.61685e-27
  1.0510   8.77916e-27
  1.0520   4.27758e-27
  1.0530   5.83069e-27
  1.0540   4.71062e-27
  1.0550   7.17159e-27
  1.0560   4.57740e-27
  1.0570   2.49332e-27
  1.0580   2.49104e-27
  1.0590   2.04079e-27
  1.0600   2.05794e-27
  1.0610   1.35771e-27
  1.0620   3.98811e-27
  1.0630   1.72091e-27
  1.0640   8.10134e-28
  1.0650   2.39022e-27
  1.0660   1.48957e-27
  1.0670   1.52906e-27
  1.0680   2.16311e-27
  1.0690   1.52942e-27
  1.0700   2.02838e-27
  1.0710   1.46384e-27
  1.0720   1.24135e-27
  1.0730   8.69507e-28
  1.0740   1.55151e-27
  1.0750   5.97776e-26
  1.0760   8.17278e-27
  1.0770   3.14569e-26
  1.0780   4.21930e-26
  1.0790   3.14353e-26
  1.0800   2.97420e-26
  1.0810   1.75358e-26
  1.0820   1.36585e-26
  1.0830   2.63847e-25
  1.0840   3.50757e-26
  1.0850   1.63565e-26
  1.0860   6.14626e-26
  1.0870   4.74172e-26
  1.0880   3.38339e-26
  1.0890   2.08499e-26
  1.0900   3.13846e-26
  1.0910   2.59294e-26
  1.0920   5.01115e-26
  1.0930   1.49014e-26
  1.0940   1.32888e-26
  1.0950   1.52089e-26
  1.0960   2.55509e-26
  1.0970   1.59827e-26
  1.0980   5.90057e-27
  1.0990   9.34602e-27
  1.1000   1.81159e-26
  1.1010   1.51877e-26
  1.1020   7.83580e-27
  1.1030   6.12192e-27
  1.1040   9.43770e-27
  1.1050   7.63605e-27
  1.1060   4.79298e-27
  1.1070   4.90216e-27
  1.1080   5.66710e-27
  1.1090   5.30802e-27
  1.1100   3.48816e-27
  1.1110   3.01050e-27
  1.1120   6.41663e-27
  1.1130   6.99889e-25
  1.1140   4.58371e-26
  1.1150   1.85705e-25
  1.1160   1.01819e-24
  1.1170   3.33151e-25
  1.1180   1.41825e-25
  1.1190   1.30961e-25
  1.1200   2.21569e-25
  1.1210   1.49956e-25
  1.1220   1.27556e-25
  1.1230   9.03344e-26
  1.1240   4.18753e-26
  1.1250   2.08356e-25
  1.1260   3.43126e-26
  1.1270   5.85753e-26
  1.1280   7.93857e-26
  1.1290   6.29998e-26
  1.1300   3.86454e-26
  1.1310   1.24070e-25
  1.1320   2.57542e-26
  1.1330   6.22344e-26
  1.1340   4.26333e-26
  1.1350   4.35910e-26
  1.1360   1.13403e-25
  1.1370   3.85774e-26
  1.1380   3.25612e-26
  1.1390   2.36425e-26
  1.1400   2.22639e-26
  1.1410   1.60321e-26
  1.1420   4.31712e-26
  1.1430   2.75727e-26
  1.1440   3.29381e-26
  1.1450   2.66705e-26
  1.1460   5.95063e-24
  1.1470   4.29023e-25
  1.1480   1.97531e-25
  1.1490   3.23012e-25
  1.1500   4.57078e-25
  1.1510   4.37770e-25
  1.1520   1.76204e-25
  1.1530   2.25499e-26
  1.1540   4.61160e-25
  1.1550   2.88912e-26
  1.1560   1.66935e-25
  1.1570   2.28773e-25
  1.1580   1.08402e-25
  1.1590   1.33893e-25
  1.1600   5.28181e-26
  1.1610   3.94996e-25
  1.1620   1.16150e-25
  1.1630   5.24318e-26
  1.1640   6.03276e-26
  1.1650   6.34997e-26
  1.1660   4.03367e-26
  1.1670   4.48602e-26
  1.1680   5.84953e-26
  1.1690   6.14470e-26
  1.1700   2.09328e-26
  1.1710   2.13618e-26
  1.1720   2.03907e-26
  1.1730   1.55597e-26
  1.1740   9.70831e-27
  1.1750   1.51094e-26
  1.1760   1.96641e-26
  1.1770   1.31176e-26
  1.1780   4.37867e-26
  1.1790   1.84406e-26
  1.1800   8.50569e-27
  1.1810   6.97028e-26
  1.1820   3.28133e-26
  1.1830   1.58833e-26
  1.1840   2.17269e-26
  1.1850   2.96560e-26
  1.1860   2.94283e-26
  1.1870   1.46692e-26
  1.1880   1.31613e-26
  1.1890   1.00451e-26
  1.1900   6.13649e-27
  1.1910   8.24717e-27
  1.1920   1.84738e-25
  1.1930   1.07090e-25
  1.1940   2.55191e-26
  1.1950   4.90932e-26
  1.1960   7.04450e-26
  1.1970   3.53295e-26
  1.1980   7.22605e-26
  1.1990   5.43508e-26
  1.2000   6.25954e-26
  1.2010   2.95640e-26
  1.2020   3.01592e-26
  1.2030   2.43644e-26
  1.2040   1.71423e-26
  1.2050   3.09543e-26
  1.2060   4.94835e-26
  1.2070   4.16232e-26
  1.2080   2.05230e-26
  1.2090   3.39960e-26
  1.2100   2.88118e-26
  1.2110   2.60704e-26
  1.2120   3.88121e-26
  1.2130   1.67916e-26
  1.2140   2.05147e-26
  1.2150   1.71807e-26
  1.2160   1.57478e-26
  1.2170   1.85171e-26
  1.2180   1.01168e-26
  1.2190   8.81482e-27
  1.2200   1.11704e-26
  1.2210   8.08067e-27
  1.2220   5.60802e-27
  1.2230   5.04292e-27
  1.2240   7.72578e-27
  1.2250   8.13100e-27
  1.2260   5.82965e-27
  1.2270   5.97527e-27
  1.2280   4.64452e-27
  1.2290   1.14897e-26
  1.2300   7.96783e-27
  1.2310   6.02402e-27
  1.2320   5.16769e-27
  1.2330   6.81579e-27
  1.2340   5.52197e-27
  1.2350   1.34650e-24
  1.2360   5.43666e-25
  1.2370   7.26536e-26
  1.2380   1.72110e-25
  1.2390   2.42141e-25
  1.2400   3.08061e-25
  1.2410   6.49119e-26
  1.2420   1.69641e-25
  1.2430   2.09747e-25
  1.2440   1.19643e-25
  1.2450   1.13643e-25
  1.2460   8.91645e-26
  1.2470   9.73845e-26
  1.2480   3.82021e-25
  1.2490   1.50215e-25
  1.2500   3.39433e-26
  1.2510   7.05266e-26
  1.2520   3.05806e-25
  1.2530   1.91128e-25
  1.2540   8.66912e-26
  1.2550   8.99332e-26
  1.2560   1.45369e-25
  1.2570   1.45409e-25
  1.2580   9.96906e-26
  1.2590   4.82170e-26
  1.2600   5.27502e-26
  1.2610   4.23974e-26
  1.2620   4.45876e-26
  1.2630   4.76170e-26
  1.2640   2.89255e-26
  1.2650   2.07800e-26
  1.2660   2.45274e-26
  1.2670   4.88678e-26
  1.2680   4.29120e-26
  1.2690   2.73087e-26
  1.2700   1.28117e-26
  1.2710   1.96577e-26
  1.2720   2.81176e-26
  1.2730   4.12585e-26
  1.2740   3.64586e-26
  1.2750   2.68546e-26
  1.2760   6.40388e-27
  1.2770   1.46221e-26
  1.2780   1.71501e-26
  1.2790   3.57634e-26
  1.2800   1.91980e-26
  1.2810   1.52049e-26
  1.2820   1.72333e-26
  1.2830   7.58547e-24
  1.2840   2.32898e-24
  1.2850   2.57203e-25
  1.2860   1.09709e-24
  1.2870   1.70886e-24
  1.2880   1.90621e-24
  1.2890   2.31416e-24
  1.2900   1.30055e-24
  1.2910   1.72285e-25
  1.2920   4.70830e-25
  1.2930   1.43655e-24
  1.2940   1.36836e-24
  1.2950   1.27161e-24
  1.2960   7.23256e-25
  1.2970   5.93785e-25
  1.2980   5.08605e-25
  1.2990   6.02881e-25
  1.3000   3.40216e-25
  1.3010   5.96389e-25
  1.3020   6.55171e-25
  1.3030   4.43786e-25
  1.3040   3.37614e-25
  1.3050   2.46168e-25
  1.3060   3.00006e-25
  1.3070   2.58130e-25
  1.3080   2.84849e-25
  1.3090   2.11353e-25
  1.3100   4.39748e-25
  1.3110   2.67826e-25
  1.3120   1.63506e-25
  1.3130   1.34869e-25
  1.3140   1.29552e-25
  1.3150   1.40628e-25
  1.3160   1.11916e-25
  1.3170   1.05616e-25
  1.3180   2.46500e-25
  1.3190   1.57179e-25
  1.3200   4.06431e-25
  1.3210   2.78702e-25
  1.3220   2.17419e-25
  1.3230   1.41678e-25
  1.3240   1.25123e-25
  1.3250   1.74577e-25
  1.3260   2.03875e-25
  1.3270   1.79765e-25
  1.3280   1.46504e-25
  1.3290   1.18579e-25
  1.3300   5.44182e-26
  1.3310   9.12438e-26
  1.3320   9.11436e-26
  1.3330   5.74312e-26
  1.3340   4.38547e-26
  1.3350   5.31096e-26
  1.3360   1.16087e-25
  1.3370   1.87117e-25
  1.3380   1.46622e-25
  1.3390   9.67648e-26
  1.3400   7.73300e-26
  1.3410   9.21526e-26
  1.3420   1.05628e-25
  1.3430   1.03485e-25
  1.3440   1.77739e-25
  1.3450   1.05336e-25
  1.3460   6.51922e-26
  1.3470   8.19191e-26
  1.3480   8.25522e-26
  1.3490   6.77667e-26
  1.3500   6.37810e-26
  1.3510   3.22195e-26
  1.3520   3.55685e-26
  1.3530   3.78877e-26
  1.3540   2.48893e-26
  1.3550   1.03106e-25
  1.3560   4.63617e-26
  1.3570   2.81498e-26
  1.3580   3.19660e-26
  1.3590   3.42395e-26
  1.3600   3.44936e-26
  1.3610   3.87368e-26
  1.3620   3.16622e-26
  1.3630   3.24844e-26
  1.3640   2.95708e-26
  1.3650   3.55985e-26
  1.3660   3.20291e-26
  1.3670   3.82090e-26
  1.3680   3.28068e-26
  1.3690   2.36504e-26
  1.3700   4.12251e-26
  1.3710   2.52424e-26
  1.3720   2.10877e-26
  1.3730   1.76586e-26
  1.3740   1.60087e-26
  1.3750   1.87067e-26
  1.3760   1.58565e-26
  1.3770   1.71255e-26
  1.3780   6.69044e-26
  1.3790   6.28273e-26
  1.3800   4.93831e-25
  1.3810   2.63154e-25
  1.3820   1.35844e-25
  1.3830   1.43493e-24
  1.3840   6.97983e-25
  1.3850   4.43717e-25
  1.3860   1.35226e-25
  1.3870   3.10540e-25
  1.3880   4.63323e-25
  1.3890   5.16457e-25
  1.3900   4.16184e-25
  1.3910   4.97049e-25
  1.3920   4.45957e-25
  1.3930   3.05114e-25
  1.3940   2.66723e-25
  1.3950   1.24461e-25
  1.3960   8.36306e-26
  1.3970   1.41270e-24
  1.3980   9.20975e-25
  1.3990   1.04926e-24
  1.4000   9.14187e-25
  1.4010   4.38073e-25
  1.4020   3.93658e-25
  1.4030   5.25089e-25
  1.4040   5.74732e-25
  1.4050   5.81324e-25
  1.4060   4.30779e-25
  1.4070   3.64784e-25
  1.4080   4.79228e-25
  1.4090   4.48241e-25
  1.4100   3.44370e-25
  1.4110   2.14562e-25
  1.4120   2.26970e-25
  1.4130   2.13254e-25
  1.4140   1.98374e-25
  1.4150   1.40287e-25
  1.4160   1.40515e-25
  1.4170   8.49105e-26
  1.4180   1.62077e-25
  1.4190   1.67793e-25
  1.4200   1.34028e-25
  1.4210   1.66511e-25
  1.4220   1.16027e-25
  1.4230   9.77183e-26
  1.4240   1.12901e-25
  1.4250   1.32975e-25
  1.4260   1.34030e-25
  1.4270   1.37910e-25
  1.4280   1.30502e-25
  1.4290   1.17705e-25
  1.4300   1.16177e-25
  1.4310   1.09249e-25
  1.4320   1.03124e-25
  1.4330   9.49094e-26
  1.4340   6.17568e-26
  1.4350   7.17693e-26
  1.4360   6.04341e-26
  1.4370   5.32432e-26
  1.4380   4.54219e-26
  1.4390   3.92668e-26
  1.4400   3.28712e-26
  1.4410   2.78900e-26
  1.4420   2.73301e-26
  1.4430   2.81967e-26
  1.4440   2.99842e-26
  1.4450   2.12414e-26
  1.4460   1.86153e-26
  1.4470   2.08383e-26
  1.4480   1.96856e-26
  1.4490   2.05950e-26
  1.4500   2.23879e-26
  1.4510   2.12067e-26
  1.4520   1.50210e-26
  1.4530   1.22756e-24
  1.4540   5.71046e-25
  1.4550   2.39074e-25
  1.4560   3.74455e-25
  1.4570   3.72167e-25
  1.4580   3.42995e-25
  1.4590   4.89813e-25
  1.4600   4.67875e-25
  1.4610   4.76691e-25
  1.4620   4.26979e-25
  1.4630   2.10212e-25
  1.4640   3.68764e-25
  1.4650   1.36444e-25
  1.4660   2.17615e-25
  1.4670   2.39538e-25
  1.4680   1.45840e-25
  1.4690   1.28454e-25
  1.4700   1.05894e-25
  1.4710   8.84770e-26
  1.4720   4.95585e-26
  1.4730   2.51442e-25
  1.4740   2.63619e-25
  1.4750   1.91766e-25
  1.4760   1.19139e-25
  1.4770   3.63717e-26
  1.4780   4.47880e-26
  1.4790   6.21965e-26
  1.4800   1.71663e-25
  1.4810   1.56733e-25
  1.4820   1.35099e-25
  1.4830   1.04562e-25
  1.4840   8.20584e-26
  1.4850   6.96439e-26
  1.4860   7.99099e-26
  1.4870   5.94853e-26
  1.4880   7.50453e-26
  1.4890   5.70830e-26
  1.4900   5.48019e-26
  1.4910   3.32337e-26
  1.4920   2.95125e-26
  1.4930   3.40717e-26
  1.4940   2.84329e-26
  1.4950   3.51226e-26
  1.4960   2.18082e-26
  1.4970   1.77705e-26
  1.4980   1.48198e-26
  1.4990   1.14875e-26
  1.5000   1.46597e-26
  1.5010   1.36057e-26
  1.5020   2.60751e-26
  1.5030   3.73783e-26
  1.5040   4.69529e-26
  1.5050   4.21999e-26
  1.5060   4.71086e-26
  1.5070   2.01749e-26
  1.5080   8.67825e-27
  1.5090   2.56354e-26
  1.5100   3.43896e-26
  1.5110   3.66779e-26
  1.5120   4.60536e-26
  1.5130   5.10680e-26
  1.5140   5.23066e-26
  1.5150   4.34840e-26
  1.5160   6.03114e-23
  1.5170   2.32331e-23
  1.5180   1.11001e-23
  1.5190   3.18368e-24
  1.5200   1.98842e-24
  1.5210   6.62497e-24
  1.5220   5.19520e-24
  1.5230   1.04304e-23
  1.5240   3.53035e-24
  1.5250   4.07929e-24
  1.5260   1.68195e-23
  1.5270   9.52369e-24
  1.5280   1.26809e-23
  1.5290   2.39089e-24
  1.5300   6.48212e-24
  1.5310   3.62647e-24
  1.5320   4.69118e-24
  1.5330   6.00710e-24
  1.5340   6.06103e-24
  1.5350   7.05434e-24
  1.5360   8.59246e-24
  1.5370   7.17013e-24
  1.5380   2.23163e-24
  1.5390   3.31528e-24
  1.5400   1.77051e-24
  1.5410   2.69823e-24
  1.5420   1.99741e-24
  1.5430   1.62763e-24
  1.5440   1.50519e-24
  1.5450   2.68849e-24
  1.5460   2.08981e-24
  1.5470   1.72716e-24
  1.5480   1.61104e-24
  1.5490   1.29490e-24
  1.5500   7.79940e-25
  1.5510   8.89307e-25
  1.5520   9.45962e-25
  1.5530   7.50521e-25
  1.5540   5.15936e-25
  1.5550   1.22393e-24
  1.5560   1.34622e-24
  1.5570   1.21828e-24
  1.5580   8.74311e-25
  1.5590   6.19776e-25
  1.5600   4.67879e-25
  1.5610   4.12513e-25
  1.5620   5.31968e-25
  1.5630   1.07639e-24
  1.5640   2.00439e-24
  1.5650   2.05447e-24
  1.5660   1.85595e-24
  1.5670   1.55886e-24
  1.5680   9.65026e-25
  1.5690   3.61246e-25
  1.5700   6.34658e-25
  1.5710   8.57660e-25
  1.5720   9.28225e-25
  1.5730   9.39575e-25
  1.5740   9.38866e-25
  1.5750   3.45788e-25
  1.5760   8.18240e-25
  1.5770   7.15955e-25
  1.5780   3.61350e-25
  1.5790   5.21617e-25
  1.5800   7.42527e-25
  1.5810   1.20290e-24
  1.5820   3.55207e-24
  1.5830   4.61438e-24
  1.5840   4.73185e-24
  1.5850   4.16238e-24
  1.5860   2.35849e-24
  1.5870   1.80675e-24
  1.5880   1.23707e-24
  1.5890   1.51830e-24
  1.5900   2.11551e-24
  1.5910   3.29722e-24
  1.5920   1.92992e-24
  1.5930   2.61893e-24
  1.5940   2.25947e-24
  1.5950   1.30442e-24
  1.5960   2.01081e-24
  1.5970   1.77218e-24
  1.5980   1.50246e-24
  1.5990   1.34488e-24
  1.6000   1.08494e-24
  1.6010   9.20916e-25
  1.6020   8.10589e-25
  1.6030   4.58611e-25
  1.6040   4.25675e-25
  1.6050   4.17715e-25
  1.6060   3.88461e-25
  1.6070   6.27461e-25
  1.6080   7.27579e-25
  1.6090   1.15991e-24
  1.6100   1.21129e-24
  1.6110   1.53373e-24
  1.6120   1.33386e-24
  1.6130   1.30761e-24
  1.6140   1.22944e-24
  1.6150   7.99731e-25
  1.6160   8.40391e-25
  1.6170   1.10198e-24
  1.6180   8.69024e-25
  1.6190   1.02083e-24
  1.6200   9.98824e-25
  1.6210   1.01692e-24
  1.6220   9.51041e-25
  1.6230   9.11814e-25
  1.6240   7.80675e-25
  1.6250   6.99352e-25
  1.6260   5.90845e-25
  1.6270   5.92662e-25
  1.6280   4.95544e-25
  1.6290   3.16647e-25
  1.6300   2.54275e-25
  1.6310   2.57109e-25
  1.6320   2.18843e-25
  1.6330   1.85142e-25
  1.6340   1.68837e-25
  1.6350   1.39956e-25
  1.6360   1.16298e-25
  1.6370   1.01444e-25
  1.6380   9.07171e-26
  1.6390   9.03852e-26
  1.6400   8.42208e-26
  1.6410   8.62028e-26
  1.6420   9.95934e-26
  1.6430   1.85964e-25
  1.6440   2.02912e-25
  1.6450   1.46405e-25
  1.6460   2.00888e-25
  1.6470   1.93043e-25
  1.6480   2.08508e-25
  1.6490   2.99080e-25
  1.6500   2.85509e-25
  1.6510   2.42022e-25
  1.6520   2.32154e-25
  1.6530   1.77810e-25
  1.6540   1.76329e-25
  1.6550   1.84168e-25
  1.6560   2.11938e-25
  1.6570   1.99741e-25
  1.6580   2.03409e-25
  1.6590   1.85081e-25
  1.6600   1.35854e-25
  1.6610   1.48995e-25
  1.6620   1.64387e-25
  1.6630   1.50373e-25
  1.6640   1.51454e-25
  1.6650   2.00451e-24
  1.6660   1.02788e-23
  1.6670   7.98784e-24
  1.6680   4.00727e-23
  1.6690   3.04389e-23
  1.6700   2.63372e-23
  1.6710   2.26916e-23
  1.6720   9.00407e-24
  1.6730   5.31869e-24
  1.6740   4.18224e-24
  1.6750   1.21185e-23
  1.6760   1.13607e-23
  1.6770   1.35728e-23
  1.6780   9.84694e-24
  1.6790   1.47296e-23
  1.6800   7.83981e-24
  1.6810   1.33074e-23
  1.6820   1.21099e-23
  1.6830   8.55339e-24
  1.6840   7.07933e-24
  1.6850   3.22878e-24
  1.6860   5.36658e-24
  1.6870   5.36000e-24
  1.6880   4.19896e-24
  1.6890   2.99774e-24
  1.6900   1.74712e-24
  1.6910   8.01228e-24
  1.6920   1.07320e-23
  1.6930   9.42997e-24
  1.6940   1.05574e-23
  1.6950   1.07245e-23
  1.6960   8.12678e-24
  1.6970   5.86111e-24
  1.6980   4.63235e-24
  1.6990   6.17729e-24
  1.7000   6.00757e-24
  1.7010   6.06134e-24
  1.7020   6.22116e-24
  1.7030   6.15029e-24
  1.7040   6.84889e-24
  1.7050   6.54007e-24
  1.7060   6.71903e-24
  1.7070   5.67724e-24
  1.7080   5.63948e-24
  1.7090   4.23662e-24
  1.7100   4.69012e-24
  1.7110   4.18479e-24
  1.7120   3.72140e-24
  1.7130   3.22248e-24
  1.7140   2.72984e-24
  1.7150   2.74745e-24
