wavelength (um)   sigma (cm2)
  1.0000   2.91318e-23
  1.0010   1.91205e-23
  1.0020   1.01232e-23
  1.0030   1.40030e-23
  1.0040   1.60984e-23
  1.0050   2.34608e-23
  1.0060   1.43926e-23
  1.0070   1.48436e-23
  1.0080   1.65456e-23
  1.0090   1.57964e-23
  1.0100   1.65035e-23
  1.0110   2.22330e-23
  1.0120   2.35647e-23
  1.0130   3.89460e-23
  1.0140   3.44794e-23
  1.0150   4.59469e-23
  1.0160   3.54158e-23
  1.0170   4.92602e-23
  1.0180   6.88624e-23
  1.0190   8.60562e-23
  1.0200   1.16176e-22
  1.0210   1.19529e-22
  1.0220   1.04666e-22
  1.0230   5.31826e-23
  1.0240   8.34475e-23
  1.0250   9.26894e-23
  1.0260   6.89456e-23
  1.0270   5.09481e-23
  1.0280   5.69394e-23
  1.0290   6.30358e-23
  1.0300   7.63013e-23
  1.0310   8.44973e-23
  1.0320   1.11752e-22
  1.0330   1.25505e-22
  1.0340   1.21154e-22
  1.0350   6.96049e-23
  1.0360   6.82509e-23
  1.0370   7.34663e-23
  1.0380   4.30716e-23
  1.0390   5.91667e-23
  1.0400   5.70803e-23
  1.0410   5.36998e-23
  1.0420   5.75828e-23
  1.0430   8.13244e-23
  1.0440   4.33491e-23
  1.0450   4.65124e-23
  1.0460   3.15007e-23
  1.0470   5.29143e-23
  1.0480   1.80715e-23
  1.0490   3.60673e-23
  1.0500   2.82069e-23
  1.0510   4.74867e-23
  1.0520   1.62239e-23
  1.0530   2.50008e-23
  1.0540   2.19804e-23
  1.0550   1.01169e-23
  1.0560   1.95024e-23
  1.0570   1.13893e-23
  1.0580   1.37929e-23
  1.0590   1.50674e-23
  1.0600   1.90268e-23
  1.0610   1.60125e-23
  1.0620   1.25589e-23
  1.0630   1.22617e-23
  1.0640   7.33734e-24
  1.0650   8.45204e-24
  1.0660   7.16705e-24
  1.0670   7.92312e-24
  1.0680   1.20537e-23
  1.0690   1.02399e-23
  1.0700   1.92078e-23
  1.0710   1.12056e-23
  1.0720   6.66626e-24
  1.0730   2.02553e-23
  1.0740   6.73675e-24
  1.0750   9.94447e-24
  1.0760   9.85854e-24
  1.0770   6.19098e-24
  1.0780   6.01408e-24
  1.0790   5.48779e-24
  1.0800   4.67880e-24
  1.0810   7.11092e-24
  1.0820   1.19565e-23
  1.0830   5.04814e-24
  1.0840   4.35752e-24
  1.0850   5.42860e-24
  1.0860   6.85017e-24
  1.0870   6.07821e-24
  1.0880   8.52999e-24
  1.0890   1.01651e-23
  1.0900   6.99467e-24
  1.0910   5.96375e-24
  1.0920   5.25043e-24
  1.0930   4.66387e-24
  1.0940   5.67200e-24
  1.0950   7.52323e-24
  1.0960   3.86984e-24
  1.0970   6.10404e-24
  1.0980   7.03990e-24
  1.0990   3.80190e-24
  1.1000   4.72946e-24
  1.1010   2.95399e-24
  1.1020   3.61827e-24
  1.1030   3.85020e-24
  1.1040   3.01015e-24
  1.1050   2.47622e-24
  1.1060   2.91890e-24
  1.1070   2.66463e-24
  1.1080   3.30784e-24
  1.1090   2.34141e-24
  1.1100   1.78012e-24
  1.1110   2.06164e-24
  1.1120   2.16330e-24
  1.1130   1.54564e-24
  1.1140   1.92625e-24
  1.1150   1.79681e-24
  1.1160   1.43566e-24
  1.1170   1.29969e-24
  1.1180   1.16631e-24
  1.1190   1.16048e-24
  1.1200   1.18951e-24
  1.1210   1.09258e-24
  1.1220   9.39259e-25
  1.1230   1.19116e-24
  1.1240   1.38261e-24
  1.1250   1.20401e-24
  1.1260   1.18544e-24
  1.1270   1.10651e-24
  1.1280   1.26668e-24
  1.1290   1.21151e-24
  1.1300   1.36446e-24
  1.1310   1.28338e-24
  1.1320   1.85588e-24
  1.1330   7.81654e-25
  1.1340   1.11113e-24
  1.1350   9.51886e-25
  1.1360   2.63311e-24
  1.1370   7.84458e-25
  1.1380   1.29591e-24
  1.1390   1.08087e-24
  1.1400   1.70798e-24
  1.1410   1.39326e-24
  1.1420   1.20969e-24
  1.1430   1.30410e-24
  1.1440   1.34216e-24
  1.1450   1.09154e-24
  1.1460   3.68550e-24
  1.1470   2.31981e-24
  1.1480   2.24962e-24
  1.1490   2.19527e-24
  1.1500   1.65234e-24
  1.1510   2.35601e-24
  1.1520   1.70242e-24
  1.1530   2.08855e-24
  1.1540   2.58000e-24
  1.1550   2.41371e-24
  1.1560   3.18101e-24
  1.1570   2.73398e-24
  1.1580   4.01241e-24
  1.1590   6.38720e-24
  1.1600   6.52898e-24
  1.1610   5.35762e-24
  1.1620   5.66459e-24
  1.1630   6.08712e-24
  1.1640   1.42651e-23
  1.1650   1.24797e-23
  1.1660   1.48911e-23
  1.1670   9.78111e-24
  1.1680   1.15215e-23
  1.1690   9.36647e-24
  1.1700   1.83454e-23
  1.1710   1.19724e-23
  1.1720   2.84463e-23
  1.1730   2.38038e-23
  1.1740   2.99450e-23
  1.1750   2.49946e-23
  1.1760   2.46024e-23
  1.1770   1.04199e-23
  1.1780   6.41409e-23
  1.1790   1.09244e-23
  1.1800   1.53561e-23
  1.1810   1.59363e-23
  1.1820   2.82049e-23
  1.1830   3.69140e-23
  1.1840   2.81609e-23
  1.1850   4.14828e-23
  1.1860   4.06827e-23
  1.1870   5.51987e-23
  1.1880   4.36249e-23
  1.1890   5.64928e-23
  1.1900   5.48470e-23
  1.1910   6.08734e-23
  1.1920   6.62486e-23
  1.1930   6.77282e-23
  1.1940   9.64060e-23
  1.1950   9.74255e-23
  1.1960   9.81684e-23
  1.1970   7.56861e-23
  1.1980   9.87193e-23
  1.1990   1.30080e-22
  1.2000   1.01147e-22
  1.2010   1.53415e-22
  1.2020   8.93950e-23
  1.2030   8.64003e-23
  1.2040   8.89291e-23
  1.2050   1.11950e-22
  1.2060   9.57475e-23
  1.2070   1.70366e-22
  1.2080   4.63967e-23
  1.2090   6.45349e-23
  1.2100   1.01494e-22
  1.2110   1.04590e-22
  1.2120   1.29288e-22
  1.2130   1.25038e-22
  1.2140   8.45005e-23
  1.2150   1.04587e-22
  1.2160   1.22127e-22
  1.2170   6.55843e-23
  1.2180   1.95494e-22
  1.2190   1.46663e-22
  1.2200   1.66578e-22
  1.2210   1.01836e-22
  1.2220   1.56692e-22
  1.2230   1.63946e-22
  1.2240   1.31781e-22
  1.2250   1.32131e-22
  1.2260   5.84421e-23
  1.2270   6.79057e-23
  1.2280   9.70539e-23
  1.2290   6.86191e-23
  1.2300   2.08692e-22
  1.2310   6.94604e-23
  1.2320   7.69849e-23
  1.2330   5.77724e-23
  1.2340   1.11910e-22
  1.2350   4.83391e-23
  1.2360   4.03730e-23
  1.2370   1.04777e-22
  1.2380   6.04387e-23
  1.2390   4.63897e-23
  1.2400   4.56661e-23
  1.2410   3.99863e-23
  1.2420   6.56192e-23
  1.2430   5.60586e-23
  1.2440   3.99300e-23
  1.2450   3.69000e-23
  1.2460   2.48938e-23
  1.2470   2.98147e-23
  1.2480   3.10377e-23
  1.2490   2.29704e-23
  1.2500   1.69285e-23
  1.2510   4.16696e-23
  1.2520   2.94334e-23
  1.2530   2.50996e-23
  1.2540   4.57295e-23
  1.2550   4.14390e-23
  1.2560   4.83484e-23
  1.2570   2.24973e-23
  1.2580   2.97249e-23
  1.2590   3.03622e-23
  1.2600   2.23867e-23
  1.2610   3.30057e-23
  1.2620   1.69704e-23
  1.2630   1.56913e-23
  1.2640   1.16425e-23
  1.2650   4.72157e-23
  1.2660   1.11971e-23
  1.2670   1.99867e-23
  1.2680   1.72698e-23
  1.2690   1.77548e-23
  1.2700   1.41252e-23
  1.2710   8.85863e-24
  1.2720   2.51186e-23
  1.2730   3.44561e-23
  1.2740   3.50626e-23
  1.2750   1.85146e-23
  1.2760   1.25903e-23
  1.2770   3.58513e-23
  1.2780   3.25816e-23
  1.2790   2.74751e-23
  1.2800   3.33352e-23
  1.2810   3.81944e-23
  1.2820   3.34724e-23
  1.2830   4.03624e-23
  1.2840   5.28518e-23
  1.2850   6.20044e-23
  1.2860   4.41143e-23
  1.2870   7.00638e-23
  1.2880   3.80096e-23
  1.2890   1.48696e-22
  1.2900   2.29184e-23
  1.2910   6.59076e-23
  1.2920   6.63990e-23
  1.2930   3.71434e-23
  1.2940   5.09385e-23
  1.2950   3.09124e-23
  1.2960   4.39731e-23
  1.2970   4.72379e-23
  1.2980   3.36582e-23
  1.2990   4.18002e-23
  1.3000   6.73339e-23
  1.3010   8.63027e-23
  1.3020   9.93760e-23
  1.3030   1.12026e-22
  1.3040   1.34781e-22
  1.3050   9.20250e-23
  1.3060   9.87475e-23
  1.3070   1.16286e-22
  1.3080   6.29298e-23
  1.3090   6.50519e-23
  1.3100   7.22233e-23
  1.3110   7.17959e-23
  1.3120   1.08065e-22
  1.3130   7.71960e-23
  1.3140   8.37077e-23
  1.3150   1.13960e-22
  1.3160   1.74019e-22
  1.3170   1.67213e-22
  1.3180   1.29761e-22
  1.3190   6.11701e-23
  1.3200   8.93951e-23
  1.3210   9.41056e-23
  1.3220   7.09818e-23
  1.3230   8.13068e-23
  1.3240   1.02284e-22
  1.3250   4.30223e-23
  1.3260   8.09973e-23
  1.3270   9.30409e-23
  1.3280   3.40293e-23
  1.3290   5.86057e-23
  1.3300   4.30624e-23
  1.3310   4.55363e-23
  1.3320   7.37471e-23
  1.3330   6.10529e-23
  1.3340   7.70333e-23
  1.3350   5.41137e-23
  1.3360   4.18001e-23
  1.3370   4.26727e-23
  1.3380   6.21035e-23
  1.3390   5.22139e-23
  1.3400   6.38284e-23
  1.3410   4.37001e-23
  1.3420   4.43334e-23
  1.3430   3.26347e-23
  1.3440   5.12529e-23
  1.3450   4.61613e-23
  1.3460   3.60711e-23
  1.3470   2.33479e-23
  1.3480   2.33216e-23
  1.3490   3.11391e-23
  1.3500   3.64561e-23
  1.3510   1.33988e-23
  1.3520   2.60799e-23
  1.3530   2.50200e-23
  1.3540   2.69898e-23
  1.3550   2.38186e-23
  1.3560   1.44060e-23
  1.3570   1.15905e-23
  1.3580   1.28376e-23
  1.3590   1.91603e-23
  1.3600   1.04810e-23
  1.3610   1.27966e-23
  1.3620   1.53745e-23
  1.3630   9.53479e-24
  1.3640   1.50991e-23
  1.3650   6.53456e-24
  1.3660   6.60874e-24
  1.3670   8.10459e-24
  1.3680   6.39553e-24
  1.3690   5.46104e-24
  1.3700   6.67482e-24
  1.3710   4.41263e-24
  1.3720   5.10230e-24
  1.3730   5.20940e-24
  1.3740   2.93083e-24
  1.3750   3.69716e-24
  1.3760   4.41113e-24
  1.3770   3.62749e-24
  1.3780   2.96918e-24
  1.3790   4.60792e-24
  1.3800   2.51034e-24
  1.3810   3.11475e-24
  1.3820   2.14019e-24
  1.3830   2.57817e-24
  1.3840   3.06613e-24
  1.3850   2.97425e-24
  1.3860   3.02979e-24
  1.3870   3.39482e-24
  1.3880   2.59304e-24
  1.3890   2.24262e-24
  1.3900   3.24083e-24
  1.3910   2.16936e-24
  1.3920   2.21144e-24
  1.3930   1.86346e-24
  1.3940   3.19175e-24
  1.3950   1.62745e-24
  1.3960   3.14557e-24
  1.3970   2.25252e-24
  1.3980   2.53240e-24
  1.3990   2.65045e-24
  1.4000   3.19087e-24
  1.4010   3.05117e-24
  1.4020   1.50845e-24
