wavelength (um)   sigma (cm2)
  1.0000   0.00000e+00
  1.0010   0.00000e+00
  1.0020   0.00000e+00
  1.0030   0.00000e+00
  1.0040   0.00000e+00
  1.0050   0.00000e+00
  1.0060   0.00000e+00
  1.0070   0.00000e+00
  1.0080   0.00000e+00
  1.0090   0.00000e+00
  1.0100   0.00000e+00
  1.0110   0.00000e+00
  1.0120   0.00000e+00
  1.0130   0.00000e+00
  1.0140   0.00000e+00
  1.0150   0.00000e+00
  1.0160   0.00000e+00
  1.0170   0.00000e+00
  1.0180   0.00000e+00
  1.0190   0.00000e+00
  1.0200   0.00000e+00
  1.0210   0.00000e+00
  1.0220   0.00000e+00
  1.0230   0.00000e+00
  1.0240   0.00000e+00
  1.0250   0.00000e+00
  1.0260   0.00000e+00
  1.0270   0.00000e+00
  1.0280   0.00000e+00
  1.0290   0.00000e+00
  1.0300   0.00000e+00
  1.0310   0.00000e+00
  1.0320   0.00000e+00
  1.0330   0.00000e+00
  1.0340   0.00000e+00
  1.0350   0.00000e+00
  1.0360   0.00000e+00
  1.0370   0.00000e+00
  1.0380   0.00000e+00
  1.0390   0.00000e+00
  1.0400   0.00000e+00
  1.0410   0.00000e+00
  1.0420   0.00000e+00
  1.0430   0.00000e+00
  1.0440   0.00000e+00
  1.0450   0.00000e+00
  1.0460   0.00000e+00
  1.0470   0.00000e+00
  1.0480   0.00000e+00
  1.0490   0.00000e+00
  1.0500   0.00000e+00
  1.0510   0.00000e+00
  1.0520   0.00000e+00
  1.0530   0.00000e+00
  1.0540   0.00000e+00
  1.0550   0.00000e+00
  1.0560   0.00000e+00
  1.0570   0.00000e+00
  1.0580   0.00000e+00
  1.0590   0.00000e+00
  1.0600   0.00000e+00
  1.0610   0.00000e+00
  1.0620   0.00000e+00
  1.0630   0.00000e+00
  1.0640   0.00000e+00
  1.0650   0.00000e+00
  1.0660   0.00000e+00
  1.0670   0.00000e+00
  1.0680   0.00000e+00
  1.0690   0.00000e+00
  1.0700   0.00000e+00
  1.0710   0.00000e+00
  1.0720   0.00000e+00
  1.0730   0.00000e+00
  1.0740   0.00000e+00
  1.0750   0.00000e+00
  1.0760   0.00000e+00
  1.0770   0.00000e+00
  1.0780   0.00000e+00
  1.0790   0.00000e+00
  1.0800   0.00000e+00
  1.0810   0.00000e+00
  1.0820   0.00000e+00
  1.0830   0.00000e+00
  1.0840   0.00000e+00
  1.0850   0.00000e+00
  1.0860   0.00000e+00
  1.0870   0.00000e+00
  1.0880   0.00000e+00
  1.0890   0.00000e+00
  1.0900   0.00000e+00
  1.0910   0.00000e+00
  1.0920   0.00000e+00
  1.0930   0.00000e+00
  1.0940   0.00000e+00
  1.0950   0.00000e+00
  1.0960   0.00000e+00
  1.0970   0.00000e+00
  1.0980   0.00000e+00
  1.0990   0.00000e+00
  1.1000   0.00000e+00
  1.1010   0.00000e+00
  1.1020   0.00000e+00
  1.1030   0.00000e+00
  1.1040   0.00000e+00
  1.1050   0.00000e+00
  1.1060   0.00000e+00
  1.1070   0.00000e+00
  1.1080   0.00000e+00
  1.1090   0.00000e+00
  1.1100   0.00000e+00
  1.1110   3.30110e-25
  1.1120   4.00676e-24
  1.1130   5.12949e-24
  1.1140   2.84684e-24
  1.1150   2.53922e-24
  1.1160   2.75827e-24
  1.1170   2.78620e-24
  1.1180   2.73140e-24
  1.1190   2.34808e-24
  1.1200   2.47350e-24
  1.1210   3.41732e-24
  1.1220   1.88640e-24
  1.1230   2.01800e-24
  1.1240   1.87506e-24
  1.1250   1.83873e-24
  1.1260   1.56612e-24
  1.1270   1.88788e-24
  1.1280   2.10304e-24
  1.1290   2.15039e-24
  1.1300   2.38130e-24
  1.1310   2.38295e-24
  1.1320   2.08741e-24
  1.1330   1.85407e-24
  1.1340   1.42907e-24
  1.1350   1.18713e-24
  1.1360   1.11305e-24
  1.1370   1.28682e-24
  1.1380   1.41643e-24
  1.1390   1.58484e-24
  1.1400   1.94875e-24
  1.1410   2.26336e-24
  1.1420   1.45021e-24
  1.1430   1.41918e-24
  1.1440   1.28998e-24
  1.1450   1.27388e-24
  1.1460   1.14208e-24
  1.1470   1.18575e-24
  1.1480   1.16871e-24
  1.1490   1.13375e-24
  1.1500   1.06183e-24
  1.1510   1.06602e-24
  1.1520   1.09209e-24
  1.1530   1.06227e-24
  1.1540   1.21288e-24
  1.1550   1.09267e-24
  1.1560   1.01492e-24
  1.1570   8.86225e-25
  1.1580   6.78529e-25
  1.1590   7.63372e-25
  1.1600   9.13310e-25
  1.1610   8.23860e-25
  1.1620   8.12891e-25
  1.1630   7.05001e-25
  1.1640   6.31605e-25
  1.1650   6.02756e-25
  1.1660   4.56726e-25
  1.1670   4.92604e-25
  1.1680   4.38626e-25
  1.1690   3.88145e-25
  1.1700   5.15884e-25
  1.1710   3.45267e-25
  1.1720   3.82044e-25
  1.1730   2.96384e-25
  1.1740   2.90685e-25
  1.1750   2.77493e-25
  1.1760   2.62113e-25
  1.1770   2.72722e-25
  1.1780   2.05486e-25
  1.1790   2.29382e-25
  1.1800   1.97495e-25
  1.1810   1.56643e-25
  1.1820   1.52353e-25
  1.1830   1.34775e-25
  1.1840   1.48927e-25
  1.1850   1.16053e-25
  1.1860   1.12436e-25
  1.1870   1.10809e-25
  1.1880   1.14664e-25
  1.1890   1.11755e-25
  1.1900   9.00976e-26
  1.1910   7.29794e-26
  1.1920   7.08032e-26
  1.1930   6.97102e-26
  1.1940   6.99812e-26
  1.1950   5.85977e-26
  1.1960   5.95305e-26
  1.1970   5.23831e-26
  1.1980   4.63452e-26
  1.1990   4.61774e-26
  1.2000   3.86915e-26
  1.2010   3.79426e-26
  1.2020   4.11610e-26
  1.2030   3.77243e-26
  1.2040   2.86324e-26
  1.2050   2.78654e-26
  1.2060   2.33973e-26
  1.2070   2.83623e-26
  1.2080   2.77963e-26
  1.2090   2.65288e-26
  1.2100   3.09034e-26
  1.2110   3.35288e-26
  1.2120   2.35202e-26
  1.2130   3.52335e-26
  1.2140   2.14212e-26
  1.2150   4.09932e-26
  1.2160   3.74189e-26
  1.2170   2.73690e-26
  1.2180   4.51514e-26
  1.2190   5.15899e-26
  1.2200   6.62715e-26
  1.2210   1.60027e-25
  1.2220   8.16589e-26
  1.2230   8.44358e-26
  1.2240   1.07493e-25
  1.2250   1.29883e-25
  1.2260   1.58696e-25
